,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
315892600003,000240348700028,000165163100002,000179241300002,A1980KX28400002,000235248000006,000072409900010,000170489900001,A1989AB89300001,A1995TA04300003,A1991FN78900008,000253560800002,000186448400003,000236767000001,000288914700002,000236331100001,A1992HF27600023,000081263200007,,,,,,,,,,,,,
316848800019,A1993MQ44300003,A1992HF68300010,A1991BU53G00084,000080980400005,000084004000003,000281596700111,A1997XE77700002,000223999500009,A1986AWP9400007,000282522000001,,,,,,,,,,,,,,,,,,,,
320381400002,000071831400001,000313757900002,A1992GY62900058,000182530600005,A1997YG15500011,A1994NH76800002,000283948100004,000266359000005,000303046000003,000231109300009,,,,,,,,,,,,,,,,,,,,
344638300002,000282915500003,000239308600057,000237698100002,000273974600042,000295615801095,A1996TU31400017,,,,,,,,,,,,,,,,,,,,,,,,
355286600030,000171891800131,A1994NH76800002,000320381400002,A1991GQ90500035,000330616900002,000346656700023,000307497200030,000306162600036,000298102200003,000320381400008,000208047200002,A1982PN35900003,000223737000002,,,,,,,,,,,,,,,,,
71321500008,A1991BU53G00084,A1987L085900001,A1993KG64500006,000071321500012,A1995QQ59900004,A1992JQ51100004,A1987H147300006,A1989CB85200012,A1996UD02900001,A1994NG53800005,A19679181500004,,,,,,,,,,,,,,,,,,,
71831400001,A1997XX61200002,A19679597000005,A1992HD06400010,A1987K669600005,A1993KG55800012,A1977DG96000007,A1993KT21700001,A1995RN46300045,A1995RZ70200001,A1985A019400003,A1996VZ87800009,A1994NG53800005,A1996VU44700007,A1991GC35000056,A1991FZ33700001,,,,,,,,,,,,,,,
71872400003,A1994PK53600002,A1996VE93900002,A1995BD71W00092,A1997WA61200011,A1995BD71W00113,A1994ND32900005,,,,,,,,,,,,,,,,,,,,,,,,
76132400002,A1980KR27600017,A1977CX90100013,A1997BH93C00053,A1995RX35400003,A1997BH93C00022,A1992HD97700001,A1992BW71Y00058,000209498700008,,,,,,,,,,,,,,,,,,,,,,
76557300010,A1985AFZ2900007,A19679597000005,A1992HL54300001,A1992BW71Y00022,A1996VG69500015,A1994NH76800002,A1992HD06400009,A1991GQ90500035,A1992JW95000009,A1990DQ49100010,A1990DJ98000011,,,,,,,,,,,,,,,,,,,
